o count
"boundary" 13
"address" 6
"mimeType" 4
"intersection" 4
"section" 4
"genericAttribute" 3
"pointCloud" 3
"buildingFurniture" 3
"buildingInstallation" 3
"appearance" 2
"relatedTo" 2
"lod0MultiCurve" 2
"lod0MultiSurface" 2
"lod2MultiSurface" 2
"lod3MultiSurface" 2
"versionMember" 2
"referencePoint" 2
"tunnelFurniture" 2
"tunnelInstallation" 2
"occupancy" 2
"elevation" 2
"lowReference" 2
"highReference" 2
"groupMember" 2
"buildingConstructiveElement" 2
"buildingRoom" 2
"bridgeFurniture" 2
"bridgeInstallation" 2
"textureParameterization" 2
